YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,22.94,26.85,75.65,10.656,659.6800000000001
2024,2,100.92,28.35,78.66,9.288,617.12
2024,3,143.53,28.43,79.42,8.928,611.63
2024,4,107.69999999999999,28.0,76.79,9.576,622.8000000000001
2024,5,1.8599999999999999,27.49,70.94,9.251999999999999,619.6899999999999
2024,6,0.6,22.92,73.28,8.28,501.59999999999997
2024,7,0.0,20.83,82.63,7.452,459.42
2024,8,0.62,20.12,86.59,7.308,506.22999999999996
2024,9,3.3,21.86,84.88,8.208,543.0
2024,10,4.340000000000001,24.47,79.24,9.972,637.0500000000001
2024,11,27.900000000000002,25.83,80.14,10.044,572.4
2024,12,52.39,26.44,81.62,8.856,626.51
