YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,11.78,28.23,71.78,11.088000000000001,692.2299999999999
2024,2,87.86999999999999,28.83,78.19,9.18,580.87
2024,3,86.17999999999999,28.99,80.35,9.072000000000001,602.0200000000001
2024,4,67.5,28.5,81.61,8.784,569.4
2024,5,9.92,27.72,79.44,9.972,572.26
2024,6,1.7999999999999998,24.25,80.41,9.144,486.3
2024,7,0.31,22.19,81.85,8.172,415.40000000000003
2024,8,0.62,21.83,82.61,8.496,416.02
2024,9,1.7999999999999998,23.83,79.64,10.404,438.29999999999995
2024,10,11.47,26.15,76.01,12.744,474.3
2024,11,18.0,27.17,77.27,11.664000000000001,503.40000000000003
2024,12,51.15,27.81,79.28,9.144,575.67
